#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_in_plane
#	Current steps: 0.25 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 13 A
#	Minimum current: -13 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: in-plane magnet
#	Measurement date: 2022-11-24 12:50:24.350355
#	Measurement timestamp: 1669290624.3503551
#Data:
Timestamp (s),Current (A),Field (T)
1669290633.8798718,-13.0,-0.6850000000000002
1669290639.9695618,-12.75,-0.6850000000000002
1669290646.4192352,-12.5,-0.6769999999999999
1669290652.4889266,-12.25,-0.6769999999999999
1669290659.0785913,-12.0,-0.6690000000000002
1669290664.918286,-11.75,-0.6690000000000002
1669290671.1559684,-11.5,-0.66
1669290676.995669,-11.25,-0.66
1669290683.2263558,-11.0,-0.651
1669290689.0590606,-10.75,-0.651
1669290695.3157423,-10.5,-0.641
1669290701.1804461,-10.25,-0.641
1669290707.4081292,-10.0,-0.631
1669290713.2278318,-9.75,-0.631
1669290726.175176,-9.5,-0.6199999999999999
1669290846.600067,-9.25,
1669290852.8157444,-9.0,-0.6069999999999999
1669290858.6514568,-8.75,-0.6069999999999999
1669290864.900133,-8.5,-0.593
1669290870.7478347,-8.25,-0.593
1669290876.9715188,-8.0,-0.577
1669290882.7952237,-7.75,-0.577
1669290889.0359058,-7.5,-0.5600000000000002
1669290894.898608,-7.25,-0.5600000000000002
1669290901.4252753,-7.0,-0.5410000000000001
1669290907.2709796,-6.75,-0.5410000000000001
1669290913.5016685,-6.5,-0.5210000000000001
1669290919.317377,-6.25,-0.5210000000000001
1669290925.6050684,-6.0,-0.4979999999999999
1669290931.439781,-5.75,-0.4979999999999999
1669290938.0304575,-5.5,-0.47199999999999986
1669290943.8561718,-5.25,-0.47199999999999986
1669290950.3878505,-5.0,-0.442
1669290956.2345624,-4.75,-0.442
1669290963.6741996,-4.5,-0.40599999999999997
1669290969.5159092,-4.25,-0.40599999999999997
1669290976.6325595,-4.0,-0.367
1669290982.446274,-3.75,-0.367
1669290989.5709238,-3.5,-0.32599999999999996
1669290995.3736408,-3.25,-0.32599999999999996
1669291014.770683,-3.0,-0.28300000000000003
1669291036.0216389,-2.75,-0.28300000000000003
1669291043.572268,-2.5,-0.23866
1669291049.432983,-2.25,-0.238565
1669291056.8646147,-2.0,-0.193525
1669291062.715326,-1.75,-0.19340000000000002
1669291070.115963,-1.5,-0.14791000000000004
1669291075.9426777,-1.25,-0.14780000000000004
1669291083.6742961,-1.0,-0.10203000000000002
1669291089.570005,-0.75,-0.10190000000000002
1669291097.3016264,-0.5,-0.056105
1669291103.1083465,-0.25,-0.055900000000000005
1669291111.5859227,0.0,-0.010318500000000001
1669291117.438635,0.25,-0.0101445
1669291125.2522519,0.5,0.03586500000000001
1669291131.1009643,0.75,0.036070000000000005
1669291139.0895727,1.0,0.08186500000000001
1669291144.9182842,1.25,0.082085
1669291153.2488763,1.5,0.12754
1669291159.098587,1.75,0.12769999999999998
1669291167.3981793,2.0,0.17275
1669291173.255891,2.25,0.17291499999999999
1669291181.4984899,2.5,0.21747999999999998
1669291187.3421993,2.75,0.21759999999999996
1669291195.3518045,3.0,0.2615450000000001
1669291201.2035174,3.25,0.26170000000000004
1669291208.7291574,3.5,0.30499999999999994
1669291214.6138597,3.75,0.30499999999999994
1669291222.0025072,4.0,0.34699999999999986
1669291227.8352292,4.25,0.34699999999999986
1669291236.0768368,4.5,0.388
1669291241.9405575,4.75,0.388
1669291288.321349,5.0,0.426
