#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_out_of_plane
#	Current steps: 1 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 60 A
#	Minimum current: -60 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: out-of-plane magnet
#	Measurement date: 2022-11-24 12:52:03.811487
#	Measurement timestamp: 1669290723.8114877
#Data:
Timestamp (s),Current (A),Field (T)
1669290744.3767898,-60.0,-1.9089100000000006
1669290751.9408956,-59.0,-1.8944850000000002
1669290759.5370362,-58.0,-1.8792249999999995
1669290767.0054743,-57.0,-1.8634399999999995
1669290774.602026,-56.0,-1.8472300000000001
1669290781.6858718,-55.0,-1.8303700000000003
1669290788.8016033,-54.0,-1.8130550000000003
1669290795.9190052,-53.0,-1.7952
1669290803.0509758,-52.0,-1.7768149999999998
1669290810.4391408,-51.0,-1.7576399999999999
1669290817.8595555,-50.0,-1.7376650000000002
1669290825.567106,-49.0,-1.716655
1669290833.5313866,-48.0,-1.69432
1669290842.1185803,-47.0,-1.6702350000000004
1669290851.2501068,-46.0,-1.6442950000000003
1669290860.973092,-45.0,-1.6166099999999997
1669290870.9678442,-44.0,-1.5874449999999998
1669290881.2667866,-43.0,-1.5573099999999998
1669290891.8373358,-42.0,-1.52621
1669290902.4560218,-41.0,-1.4944149999999998
1669290913.0105116,-40.0,-1.4619300000000002
1669290923.5493846,-39.0,-1.42895
1669290934.1192212,-38.0,-1.3954
1669290944.6743138,-37.0,-1.3618149999999998
1669290955.261159,-36.0,-1.327785
1669290965.8315284,-35.0,-1.293615
1669290976.4008036,-34.0,-1.2591450000000002
1669290987.2756603,-33.0,-1.2244599999999999
1669290998.1172805,-32.0,-1.1896499999999999
1669291008.67252,-31.0,-1.1548249999999998
1669291018.938898,-30.0,-1.1198149999999996
1669291029.5100098,-29.0,-1.08435
1669291040.0803497,-28.0,-1.04875
1669291050.3630283,-27.0,-1.0128199999999998
